name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10213-3702,122.755283436,44.2220679155,3.439,0.057,0.03,1.70672E11,11.232162277746674,0.687977,4.26128,7.767619,9.33254909515381,-0.107976444065571,0.249741691291208,,0.136133620897812,16.33925
manga-10213-3703,123.8433,44.06446,2.435,0.207,0.14,2.11208E9,9.324710364098776,0.776138,0.816928,12.549163,8.8186502456665,-0.393069744110107,-0.358724786612006,-0.356949268443075,0.564688959062427,15.58424
manga-10213-3704,123.434850902,43.7540199483,4.312,0.048,-0.3,2.46816E11,11.392373309682428,0.838378,6.0,22.039967,9.73451232910156,-0.0713410079479218,-0.655242013820328,-2.79537963601358,0.0951856728050386,15.9363
manga-10213-6101,121.717807261,43.3235006561,3.301,0.088,0.13,8.35874E10,10.922140816638953,0.880971,6.0,11.582054,9.17922496795654,-0.129912674427032,-0.377282094140384,-1.75459877158723,0.197355946208024,15.50386
manga-10213-6102,122.675141761,42.2778481495,3.774,0.112,0.11,5.11845E10,10.709138465202136,0.464565,4.50091,10.513791,9.42376708984375,-0.27678582072258,-0.699677836873364,-1.02829673380882,0.333463403687936,15.46165
manga-10213-6103,121.096386831,43.5825885672,4.062,0.1,0.12,4.74911E10,10.676612228929196,0.809567,5.29571,18.00454,9.47488975524902,-0.143449902534485,-0.179258708178414,-1.07357647158585,0.295619143602834,14.78402
manga-10213-6104,122.574759642,42.4055177083,3.94,0.236,0.62,1.02136E11,11.009178845374386,0.569908,3.75259,14.077064,9.73458290100098,-0.128871753811836,-0.592794682974587,-2.6384606949486,0.0732364274757578,14.51223
manga-10213-9101,122.363515778,43.9349178253,3.286,0.164,0.24,1.12117E10,10.049671468495342,0.521128,1.95278,15.784071,8.90988731384277,-0.187668368220329,0.0885557945994047,-0.076343055545831,0.387576222956276,14.48037
manga-10213-9102,124.265207921,42.3782637188,1.341,1.309,2.94,4.89677E8,8.689909705799584,0.320039,1.35776,16.750353,8.52248764038086,-0.784515380859375,-0.916900740964207,-1.2983556757322,0.652778025465853,16.98146
manga-10214-12701,121.177734666,35.4005287119,3.423,0.164,0.38,1.06928E10,10.029091443779619,0.231479,1.13161,23.357351,8.88609027862549,-0.592061758041382,0.197810360851089,-0.221586527119113,0.593687185894082,15.17062
manga-10214-12702,122.056621702,34.5382142602,3.815,0.045,0.09,8.18804E10,10.913179955599755,0.827392,4.92755,15.164274,9.34033298492432,-0.263710111379623,-0.36085233205211,-3.64097669244121,0.115727735945487,15.69669
manga-10214-12703,121.367176743,35.9466955876,4.096,0.216,0.19,7.67251E10,10.884937463143872,0.592784,3.40176,25.668339,9.57264232635498,-0.0817504748702049,-0.427155782880783,-0.693982136161943,0.396229340998733,13.52612
manga-10214-12704,122.535492782,35.275267785,4.378,0.749,1.8,2.39362E11,11.379055204966683,0.690762,6.0,27.301685,9.60279941558838,-0.16048239171505,-1.03473385771009,-2.45533994049205,0.116106016175309,14.72149
manga-10214-12705,122.2768863,34.7247236733,4.533,0.91,1.56,9.99349E10,10.999717182225103,0.570842,6.0,52.198338,9.22814464569092,-0.370793133974075,-0.628077962343108,-1.73173852562295,0.138129912388519,15.99501
manga-10214-1901,122.194114188,35.4369387111,4.725,0.234,0.35,8.43196E10,10.925928537643083,0.945956,6.0,22.250505,9.65167140960693,-0.0454158559441566,-0.554796433348704,-1.0019936110935,0.168180762172385,16.18305
manga-10214-1902,121.988292284,34.2273271723,2.687,0.049,0.12,3.51398E9,9.54579928535667,1.0,3.8842,4.800282,9.39417457580566,-0.31479224562645,-1.00561038739027,-0.888195581808621,0.223834175537246,15.7558
manga-10214-3702,120.75370272,35.1591455551,3.733,0.099,0.04,2.89491E10,10.461635066470727,0.590573,3.78455,13.370387,9.72621917724609,-0.147601246833801,-1.03501432218792,-0.0401102092649078,0.322214302735294,14.63302
manga-10214-3703,122.921386026,36.1157754382,4.139,0.173,0.33,1.48999E11,11.173183353674426,0.866481,5.88227,15.557333,9.62265682220459,-0.0586097277700901,-0.525618170081551,-2.35124914662984,0.119520575768995,15.28163
manga-10214-3704,123.657888722,34.4998105102,3.404,0.035,0.12,4.56646E10,10.65957965778917,0.869987,4.5714,8.80468,9.58241844177246,-0.141437396407127,-1.09474526273829,-2.19436842384714,0.0831082307423459,15.56607
manga-10214-6101,123.061819419,35.1571384443,3.437,0.049,0.08,2.10684E9,9.323631555183054,0.448133,2.32467,12.919089,8.77462291717529,-0.846298933029175,-0.309474741665527,-0.791140511543056,0.424147265686658,15.06139
manga-10214-6102,122.841078941,34.5816625567,3.917,0.083,0.2,3.28862E10,10.517013693659768,0.967876,6.0,12.845367,9.41885375976562,-0.286811828613281,-0.821631686885867,-3.33155300642556,0.143839737533158,15.67387
manga-10214-6103,120.885107167,34.9655998133,3.158,0.186,-0.07,1.84984E9,9.267134166174838,0.761699,1.56205,23.027773,8.69528388977051,-0.413408756256104,-0.493828867724897,-0.673729158423014,0.614124571884241,15.70798
