PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LogMass
-3.8569771591191886,-0.16799260080592404,-0.4489022356645569,-0.37829282041044243,-0.6187709237483646,-0.16030397574888403,0.8156047795449637,0.378687279409626,0.05598076081131218,-0.21435204740462338,-0.9495820148566751
-2.673049832006558,-0.1995408362120332,-0.4955689555559621,-0.6702762965010827,0.4612529691254881,0.45513031126512765,1.2784310953993328,0.3828154050204854,-0.2562637257099263,-0.13450066755088294,-0.6310833353367133
-1.458270538206005,0.6567855759006196,-0.40687464890789665,-0.8050298119812758,-1.1566589223405217,0.6054995591834743,-0.020468195132870952,-0.00033827543159664094,-0.2003312937945477,-0.04660646021588144,-0.07175354226523115
-1.6265301848332945,0.7563176245386384,0.5240079486187303,-2.6007436954251766,-0.12150283929653428,0.03425902323979768,-0.7652953532451011,-0.2596949433613143,-0.29871825345374514,-0.012847863036393197,-0.75843657405655
-2.9351286496215017,1.023271321017711,-0.9626428204236541,-0.37849337045022996,-0.1837039143902199,0.09789861765229925,0.6555725911122419,0.7125573451420533,0.09741335110963742,-0.42476786851740456,-0.10383688624086937
-2.025044004975541,-2.2358112812336293,0.06862586947340894,0.15227229038020512,-1.413939189781186,-0.7044786774740408,0.3595952097795177,-0.3881669957174857,-0.18437077421193857,1.1101733166996823,-1.410230427522033
3.2339322549470264,-1.8490595701772177,0.5276710901543208,-0.43880043014006626,0.16095675299711318,-0.5583219530062796,-0.29415119025003045,0.15787849369274062,0.2245237426734173,0.38492053471893567,-0.03553645829524856
0.44591045525751744,-2.9998979606841227,0.5757043060935253,1.7035077224689,-0.5422320903460439,0.31030499296489067,-0.47569305102453524,0.018179886532825318,0.005380485603392895,-0.7435805417368799,-0.4842555140258447
2.1280524464442085,0.23620180408029418,-0.3533733756065373,0.8702421495019209,0.5787240395375147,0.3792213825310496,-0.8552613154529722,1.0664159654547956,-0.07212849065441711,1.0324189377815927,-0.48480076925236953
-2.851415305325174,-0.8552098166705039,-0.6677308224753371,0.16302025380020768,-0.9781153360389695,0.3466423013942618,0.5824773904942714,0.9911833129230574,-0.009601381866400511,-0.016986700330135288,-0.835737617973844
