PETRO_TH90,nsa_sersic_n,log_SFR_ssp,log_age_mean_LW,modelMag_r,log_ZH_mean_LW,vel_sigma_Re,C,log_SFR_Ha,LogMass
-0.9719041533183644,-1.5123943653993406,0.8205076424312986,-1.1503607773010691,0.8076253631953512,-1.270759434105006,2.1975336964466723,-1.3471179707606233,0.5113083388588094,-0.9495820148566751
0.15446628956377723,-0.8935042354229932,0.4976574735382127,-1.0841973775550502,1.0683439895048847,-0.7987326147804726,2.2032853258170078,-0.6744160776489817,0.023990505607080524,-0.6310833353367133
-0.004852024453823941,-0.3851016905911587,0.7402278191121562,-0.7407292088016981,0.1766398299451717,-0.3043887178697148,0.6214326218108701,-0.09444380374616816,0.7200331845917946,-0.07175354226523115
1.4306947203822526,-1.38603148224391,-0.08205672023247791,-0.7491928467645848,-0.8334607161448321,-0.8712254673819283,0.7044076545261908,0.12241258445089559,0.14901578333656226,-0.75843657405655
-0.3170049622726975,-1.0467960536577599,1.1094930401717156,-1.1689733122103767,0.19927768433564658,-1.2398927084834426,2.095985868869604,-0.6728914485913893,1.1993012828632303,-0.10383688624086937
-1.9242943330601912,-1.5395273078651341,-0.7537713643442864,0.027671177640710826,1.4930744826888618,0.3478912900470854,0.3150560626638079,-0.9335513636833522,-0.20687665596354754,-1.410230427522033
-0.10390502797525028,0.9162686473993168,-2.0437650108212773,1.6921039979618102,-0.6769444769311128,1.2603904375911887,-1.188008072685337,1.1509855611703241,-1.3737172110634714,-0.03553645829524856
-2.0670210422237467,1.2619411062629933,-1.1486977143169947,0.27524817691037784,1.0634536385802424,-0.46307902903710746,-1.1714760225968728,-0.7184970024453269,-1.6398773199492291,-0.4842555140258447
0.005142759832082502,1.2760203609478897,0.1603117605219776,0.6722278285300188,-0.18282629646083773,0.8145685584264776,-1.1201984790215986,1.807243784389963,0.5462167160295262,-0.48480076925236953
-1.6668339196396764,-0.5879212779693289,0.40902649337509006,-1.0453538047304476,1.0879588367866948,-0.8935820432876619,1.7077431007487216,-0.5654072500749022,0.4239835360809529,-0.835737617973844
-0.09301626018574109,0.7841432099626382,-0.9845503504714455,0.9065043654667952,-0.8681001935932726,0.915089518234669,-1.178532622258629,0.7250406497898995,-0.3075686636494722,0.213150277760858
-0.2461413780827603,1.2760203609478897,0.12416798160959273,1.1955998209522318,0.6107571132854402,0.7501258288435425,-1.3353640611296127,0.4080058842730558,-0.4575994073829272,1.0320773253379991
0.1880775116810442,-0.28044264215291254,0.5907208216806178,0.17474310202580703,-1.325206792950267,0.46972108070831176,0.2455070577439007,0.425269452344479,0.854596645286035,0.23519719638279304
0.45445415354348273,1.1999382712767788,-1.0894505210776921,1.535417411057016,-0.7353750355025268,1.2666583012964656,-0.968774753275254,1.8033515458589098,-0.9301516345980755,0.6078769317992393
0.6018340178374398,1.2760203609478897,-0.271464050656331,1.4617567494268058,-0.8560410191433752,0.9345862477332914,-1.49536604671528,1.2548581330571182,0.010971331174894692,1.3571390601302273
-0.4185943310981431,-0.5091226952937355,0.8907284618172903,-1.2604883963571514,0.7920033641951759,-0.8250433044821296,0.2637672236056377,-0.645395765364518,0.656402055418619,-1.0941551293798726
0.12356369656648382,0.7051971937772824,-0.13036542539701643,1.099691817817487,0.1420689800601515,0.6860088985936645,-0.17676295999998218,1.0865271863386063,-0.36608157599511254,0.9675860883838165
0.6338767336499117,1.2760203609478897,-0.664448770892557,1.1448547054250866,1.0544869816990268,1.4944192701911563,-1.350062292418279,0.7090487985206062,-0.40093118213749207,1.373588466610389
0.007095578644401823,-1.3150923836806008,0.6301435844501649,-1.1782464503619827,1.2227776163697774,-1.0175792585547212,-0.3009030255030758,-1.3388281340286206,0.1303166097574877,-1.1759845729457532
